headword	collocation
aware	increasingly aware
aware	keenly aware
aware	make aware
aware	well aware
aware	greater awareness
aware	growing awareness
aware	increase awareness
aware	increased awareness
aware	increasing awareness
aware	public awareness
aware	raise awareness
background	background knowledge
background	cultural background
background	diverse background
background	historical background
background	social background
base	(be) largely based (on)
base	basic component
base	basic concept
base	basic element
base	basic function
base	basic information
base	basic premise
base	basic principle
base	basic research
base	basic structure
base	basic technique
base	legal basis
base	theoretical basis
bear	bear resemblance (to)
become	become (a) source (of)
become	become (the) focus (of)
become	become blurred
become	become established
become	become evident
become	become independent
become	become involved (with/in)
become	become obvious
become	become visible
become	become widespread
begin	begin (a) process
behave	behave differently
behave	human behaviour
behave	individual behaviour
behave	sexual behaviour
behave	social behaviour
belief	religious belief
belief	widespread belief
belief	(be) widely believed
benefit	beneficial effect
benefit	provide (a) benefit
benefit	economic benefits
benefit	potential benefits
best	(be) best described (as
best	in terms of)
binary	binary opposition
binary	binary system
biological	biological evolution
biological	biological science
biological	biological sex
body	international body
body	professional body
bond	strong bond
boundary	clear boundary
boundary	cultural boundary
boundary	national boundary
brief	brief description
brief	brief discussion
brief	brief history
brief	brief introduction
brief	brief overview
brief	brief period
brief	brief review
brief	brief summary
brief	brief time
brief	briefly describe
brief	briefly discuss
broad	(a) broad range (of)
broad	broad category
broad	broad definition
broad	broad spectrum
broad	broader context
broad	(be) broadly defined
broad	broadly similar
business	business sector
business	business transaction
call	(be) commonly called
capacity	limited capacity
capitalism	global capitalism
capitalism	industrial capitalism
capitalism	capitalist country
capitalism	capitalist economy
capitalism	capitalist society
capitalism	capitalist system
capitalism	capitalist world
care	primary care
care	provide care
care	careful consideration
care	careful thought
care	(be) carefully controlled
care	(be) carefully selected
career	career development
career	career opportunity
carry	carry information
carry out	carry out (the) task
carry out	carry out research (of)
case	civil case
case	exceptional case
case	individual case
case	specific case
cast	cast doubt (on)
category	fall into (the) category (of)
category	general category
category	main category
causal	causal link
causal	causal relation
causal	causal relationship
cause	cause consequences
cause	cause stress
cause	major cause
cause	underlying cause
centre	central concept
centre	central concern
centre	central control
centre	central core
centre	central feature
centre	central focus
centre	central government
centre	central importance
centre	central issue
centre	central part
centre	central point
centre	central position
centre	central problem
centre	central question
centre	central role
centre	central tenet
centre	central theme
centre	urban centre
certain	certain characteristics
certain	certain circumstances
challenge	face (a) challenge
challenge	major challenge
challenge	pose (a) challenge
challenge	present (a) challenge
challenge	serious challenge
change	change constantly
change	change dramatically
change	change rapidly
change	climate change
change	cultural change
change	demographic change
change	dramatic change
change	economic change
change	fundamental change
change	historical change
change	major change
change	minor change
change	radical change
change	significant change
change	structural change
change	technological change
change	environmental changes
change	changing circumstances
change	changing nature
change	changing needs
change	changing pattern
change	changing world
change	ever changing
change	rapidly changing
change	remain unchanged
chapter	final chapter
chapter	following chapter
chapter	introductory chapter
chapter	opening chapter
chapter	preceding chapter
chapter	previous chapter
chapter	subsequent chapter
characteristic	characteristic feature
characteristic	common characteristic
characteristic	defining characteristic
characteristic	key characteristic
characteristic	salient characteristic
characteristic	specific characteristic
characteristic	demographic characteristics
characteristic	individual characteristics
characteristic	main characteristics
characteristic	physical characteristics
characteristic	similar characteristics
charge	(be) highly charged
chemical	chemical reaction
choose	individual choice
choose	personal choice
choose	(be) randomly chosen
circumstance	exceptional circumstances
circumstance	historical circumstances
circumstance	local circumstances
circumstance	personal circumstances
circumstance	political circumstances
circumstance	social circumstances
circumstance	special circumstances
cite	(be) frequently cited
civil	civil society
class	class consciousness
class	lower class
class	ruling class
classic	classic example
classic	classic study
classic	classic text
classic	classic work
classic	classical theory
clear	clear distinction
clear	clear evidence
clear	clear focus
clear	clear indication
clear	clear relationship
clear	clear statement
clear	clear structure
clear	entirely clear
clear	fairly clear
clear	(be) clearly defined
clear	(be) clearly demonstrated
clear	(be) clearly established
clear	(be) clearly identified
clear	(be) clearly related (to)
clear	clearly evident
clear	clearly important
clear	clearly understand
clear	clearly visible
clear	remain unclear
climate	current climate
climate	political climate
climate	climatic conditions
close	close contact
close	close proximity
close	close relationship
close	close scrutiny
close	(be) closely connected (to
close	(be) closely linked (to
close	(be) closely related (to)
close	(be) closely tied
close	closely resemble
close	(on/upon) closer inspection
close	(upon
close	on) closer examination
close	closer look
clue	provide (a) clue
cognitive	cognitive development
cognitive	cognitive skills
collaborative	collaborative learning
colleague	professional colleague
collect	collect data
collect	collect information
collect	collective identity
collect	collective memory
combine	combined effect
come into	come into conflict (with)
come into	come into contact (with)
comment	make (a) comment
comment	written comment
commercial	commercial transaction
commit	commit (a) crime
commit	commit (an) offence
common	common culture
common	common error
common	common feature
common	common goal
common	common method
common	common source
common	common theme
common	common usage
common	fairly common
common	increasingly common
common	relatively common
common	(be) commonly encountered
common	(be) commonly found (in)
common	(be) commonly known (as)
common	(be) commonly referred (to) (as)
common	(be) commonly used
communicate	communicate effectively
communicate	direct communication
communicate	effective communication
communicate	electronic communication
communicate	personal communication
communicate	verbal communication
communicate	written communication
community	ethnic community
community	international community
community	local community
community	rural community
community	scientific community
community	virtual community
community	wider community
compare	comparative research
compare	comparative study
compel	compelling evidence
compel	compelling reason
compete	increased competition
compete	competitive market
compete	competitive pressure
compete	highly competitive
competence	demonstrate competence
complete	complete (a) task
complex	complex interaction
complex	complex issue
complex	complex pattern
complex	complex problem
complex	complex process
complex	complex question
complex	complex relationship
complex	complex set
complex	complex situation
complex	complex structure
complex	complex system
complex	extremely complex
complex	highly complex
complex	increasingly complex
complex	increasing complexity
component	essential component
component	fundamental component
component	individual component
component	key component
component	main component
component	major component
comprehensive	comprehensive overview
comprehensive	comprehensive review
comprehensive	comprehensive system
concentrate	high concentration
concept	defining concept
concept	key concept
concept	theoretical concept
concept	use (the) concept concept
concept	conceptual framework
concern	environmental concern
concern	major concern
concern	primary concern
concern	(be) mainly concerned (with)
concern	(be) particularly concerned (with)
concern	(be) primarily concerned (with)
concerted	concerted effort
conclude	concluding remarks
conclude	concluding section
conclude	draw (a) conclusion
conclude	general conclusion
conclude	lead to (the) conclusion
conclude	logical conclusion
condition	sufficient condition
condition	conditional probability
condition	create conditions
condition	economic conditions
condition	experimental conditions
condition	living conditions
condition	natural conditions
condition	normal conditions
conduct	conduct (a) study
conduct	conduct (a) survey
conduct	conduct (an) interview
conduct	conduct research
confer	hold (a) conference
confer	international conference
confer	national conference
confine	(be) largely confined (to)
conflict	conflict resolution
conflict	internal conflict
conflict	political conflict
conflict	potential conflict
conflict	resolve (a) conflict
conflict	social conflict
conflict	conflicting interests
connect	(be) directly connected (to
connect	(be) intimately connected (to
connotation	negative connotation
connotation	positive connotation
consciousness	political consciousness
consent	general consensus
consent	political consensus
consent	reach (a) consensus
consent	give consent
consent	informed consent
consequent	direct consequences
consequent	economic consequences
consequent	environmental consequences
consequent	have consequences
consequent	negative consequences
consequent	political consequences
consequent	possible consequences
consequent	serious consequences
consequent	social consequences
consequent	unintended consequences
consider	consider (a) possibility
consider	consider (an) issue
consider	consider (the) impact (of)
consider	consider (the) implications
consider	consider (the) role (of)
consider	consider relevant
consider	ethical consideration
consider	further consideration
consider	give consideration
consider	political consideration
consider	practical consideration
consider	require consideration
consider	take into consideration
consider	(be) generally considered
considerable	(a) considerable degree (of)
considerable	(be of) considerable importance
considerable	(in) considerable detail
considerable	(to a) considerable extent
considerable	considerable debate
considerable	considerable effort
considerable	considerable evidence
considerable	considerable influence
considerable	considerable interest
considerable	considerable research
considerable	considerable support
considerable	considerable variation
considerable	differ considerably
considerable	vary considerably
consist	consistent pattern
consist	consistent results
constant	constant rate
constant	relatively constant
constant	remain constant
constitute	constituent elements
constitute	constituent parts
constrain	impose constraints
construct	social construct
construct	(be) socially constructed
contact	direct contact
contact	first contact
contact	maintain contact
contact	make contact
contact	personal contact
contact	physical contact
contact	sexual contact
contact	social contact
contain	contain (an) element
contain	contain information
contemporary	contemporary debate
contemporary	contemporary issue
contemporary	contemporary life
contemporary	contemporary society
contemporary	contemporary world
context	cultural context
context	economic context
context	global context
context	historical context
context	institutional context
context	international context
context	original context
context	political context
context	present context
context	provide context
context	social context
context	specific context
context	wider context
context	contextual factors
continue	continued existence
continue	continued growth
continue	continued use
continue	continuous process
contrast	marked contrast
contrast	sharp contrast
contrast	stark contrast
contrast	striking contrast
contribute	contribute significantly
contribute	contribute to (the) development (of)
contribute	major contribution
contribute	make (a) contribution
contribute	significant contribution
control	government control
control	internal control
control	personal control
control	(be) tightly controlled
controversy	controversial issue
controversy	highly controversial
convene	conventional view
convene	conventional wisdom
convey	convey (a) message
convey	convey information
convey	convey meaning
convince	convincing evidence
cope	coping strategy
core	core element
core	core issue
core	core skills
core	core value
correct	correct (an) error
correct	correct interpretation
correct	politically correct
correlate	(be) highly correlated (with)
correlate	(be) negatively correlated (with)
correlate	(be) positively correlated (with)
correlate	(be) significantly correlated (with)
correlate	(be) strongly correlated (with)
correlate	high correlation
correlate	negative correlation
correlate	positive correlation
correlate	significant correlation
correlate	strong correlation
cost	rising cost
country	industrial country
country	industrialized country
cover	cover (a) range (of)
cover	cover (a) topic
cover	media coverage
cover	provide coverage
create	create (an) environment
create	create (an) impression
create	create (an) opportunity
create	create opportunities
create	create problems
create	newly created
create	creative process
create	creative thinking
create	creative work
crime	criminal offence
crisis	economic crisis
criteria	meet criteria
criteria	objective criteria
criteria	use criteria
critical	critical essay
critical	critical evaluation
critical	critical examination
critical	critical factor
critical	critical importance
critical	critical inquiry
critical	critical introduction
critical	critical issue
critical	critical perspective
critical	critical point
critical	critical reflection
critical	critical review
critical	critical role
critical	critical scrutiny
critical	critical theory
critical	critical thinking
critical	critical writing
critical	highly critical
critical	critically evaluate
critical	radical critique
crucial	crucial difference
crucial	crucial factor
crucial	crucial importance
crucial	crucial part
crucial	crucial point
crucial	crucial question
crucial	crucial role
culture	cultural differences
culture	cultural dimension
culture	cultural diversity
culture	cultural factors
culture	cultural heritage
culture	cultural history
culture	cultural identity
culture	cultural influence
culture	cultural institution
culture	cultural issue
culture	cultural life
culture	cultural norm
culture	cultural perspective
culture	cultural phenomenon
culture	cultural practice
culture	cultural significance
culture	cultural theory
culture	cultural tradition
culture	cultural values
culture	culturally specific
culture	dominant culture
culture	global culture
culture	local culture
culture	modern culture
culture	national culture
culture	political culture
culture	popular culture
culture	traditional culture
currency	foreign currency
currency	single currency
current	current issue
current	current policy
current	current research
current	current status
current	current technology
current	current trend
customer	potential customer
daily	daily living
damage	environmental damage
dangerous	potentially dangerous
data	data gathering
data	data set
data	empirical data
data	existing data
data	experimental data
data	extract data
data	gather data
data	historical data
data	interpret data
data	missing data
data	numerical data
data	obtain data
data	original data
data	preliminary data
data	present data
data	primary data
data	process data
data	provide data
data	qualitative data
data	quantitative data
data	raw data
data	record data
data	relevant data
data	reliable data
data	report data
data	secondary data
data	statistical data
data	store data
data	survey data
data	transmit data
data	use (the) data data
data	online database
deal	deal (with an) issue
death	premature death
debate	heated debate
debate	ongoing debate
debate	political debate
debate	public debate
debate	theoretical debate
decade	next decade
decade	previous decade
decade	early decades
decade	recent decades
decide	final decision
decide	major decision
decide	strategic decision
deem	deem necessary
deep	(a) deep understanding (of)
deep	(at/on a) deeper level
deep	(be) deeply embedded
deep	(be) deeply rooted
define	defining feature
define	general definition
define	narrow definition
define	precise definition
define	use (the) definition
degradation	environmental degradation
degree	(a) higher degree (of)
degree	(a) significant degree (of)
degree	varying degree
demand	increased demand
demand	increasing demand
democracy	liberal democracy
democracy	social democracy
democracy	western democracy
democracy	democratic institution
democracy	democratic process
democracy	democratic society
democracy	democratic state
demographic	demographic factor
densely	(be) densely populated
department	government department
dependent	dependent variable
dependent	highly dependent
describe	describe (a) procedure
describe	describe (a) method
describe	describe (a) process
describe	previously described
describe	descriptive statistics
design	experimental design
design	urban design
design	(be) specifically designed (to
design	for)
design	well designed
desire	highly desirable
desire	socially desirable
desire	desired outcome
detail	sufficient detail
detail	technical detail
detail	detailed examination
detail	detailed information
detail	detailed study
determined	(be) largely determined (by)
develop	develop (a) method
develop	develop (a) strategy
develop	develop (a) technique
develop	develop (a) theory
develop	(be) fully developed
develop	(be) highly developed
develop	(be) originally developed
develop	encourage (the) development (of)
develop	facilitate (the) development (of)
develop	further development
develop	future development
develop	historical development
develop	industrial development
develop	normal development
develop	physical development
develop	professional development
develop	promote (the) development (of)
develop	regional development
develop	significant development
develop	subsequent development
develop	technological development
develop	urban development
develop	developmental process
develop	developmental stage
diagnostic	diagnostic test
differ	differ significantly
differ	differ widely
differ	fundamental difference
differ	major difference
differ	obvious difference
differ	sexual difference
differ	significant difference
differ	substantial difference
differ	ethnic differences
differ	individual differences
differ	racial differences
differ	radical differences
differ	regional differences
differ	(be) markedly different
differ	entirely different
differ	fundamentally different
differ	qualitatively different
differ	radically different
differ	slightly different
differ	substantially different
differ	totally different
differ	widely different
differ	think differently
differ	treat differently
difficult	increasingly difficult
difficult	encounter difficulties
difficult	experience difficulties
difficult	face difficulties
difficult	learning difficulties
difficult	practical difficulties
difficult	present difficulties
digital	digital information
digital	digital media
digital	digital technology
dilemma	ethical dilemma
dilemma	face (a) dilemma
dilemma	moral dilemma
dimension	political dimension
dimension	social dimension
direct	direct evidence
direct	direct impact
direct	direct involvement
direct	direct link
direct	direct observation
direct	direct relationship
direct	direct role
direct	(be) directly involved (in)
direct	(be) directly linked (to)
direct	(be) directly linked (to
direct	(be) directly proportional (to)
direct	(be) directly related (to)
direct	(be) directly responsible (for)
disaster	natural disaster
disclose	disclose information
discourse	dominant discourse
discourse	public discourse
discourse	scientific discourse
discover	newly discovered
discriminate	face discrimination
discriminate	positive discrimination
discriminate	racial discrimination
discuss	discuss (a) topic
discuss	discuss (an) issue
discuss	(be) widely discussed
discuss	previously discussed
discuss	earlier discussion
discuss	fuller discussion
discuss	preceding discussion
discuss	previous discussion
disperse	(be) widely dispersed
display	public display
dispose	disposable income
dispute	resolve (a) dispute
distinct	distinct group
distinct	distinct type
distinct	draw (a) distinction
distinct	make (a) distinction
distinct	sharp distinction
distinct	distinctive feature
distinguish	distinguishing feature
distribute	(be) widely distributed
distribute	geographic(al) distribution
distribute	normal distribution
diverse	(a) diverse range (of)
diverse	diverse group
diverse	ethnic diversity
diverse	great diversity
divide	(be) further divided (into)
divide	dividing line
document	(be) well documented
documentary	documentary evidence
domain	public domain
domestic	domestic market
domestic	domestic sphere
domestic	domestic violence
dominate	male dominance
dominate	dominant form
dominate	dominant group
dominate	dominant ideology
dominate	dominant paradigm
dominate	dominant position
dominate	dominant role
draft	first draft
drama	dramatic effect
drama	dramatic increase
drama	increase dramatically
draw	draw (a) line
drive	driving force
due	due process
duration	long duration
duration	maximum duration
duration	short duration
dynamic	dynamic equilibrium
dynamic	dynamic nature
dynamic	dynamic process
dynamic	dynamic system
early	earlier period
early	earlier research
early	earlier stage
early	earlier study
early	earlier times
early	earlier version
early	earlier work
early	early study
easy	(be) easily identified
easy	(be) easily understood
economy	economic exploitation
economy	economic factors
economy	economic forces
economy	economic goal
economy	economic growth
economy	economic inequality
economy	economic integration
economy	economic interests
economy	economic policy
economy	economic power
economy	economic prosperity
economy	economic reform
economy	economic relations
economy	economic relationships
economy	economic resources
economy	economic sector
economy	economic stability
economy	economic status
economy	economic structure
economy	economic success
economy	economic system
economy	economic theory
economy	economic value
economy	economic welfare
economy	global economy
economy	local economy
economy	national economy
economy	political economy
economy	rural economy
edit	revised edition
educate	(be) highly educated
educate	well educated
educate	higher education
educate	primary education
educate	secondary education
educate	educational institution
educate	educational opportunity
educate	educational policy
educate	educational programme
educate	educational provision
educate	educational qualification
educate	educational research
educate	educational setting
educate	educational system
effect	negative effect
effect	overall effect
effect	positive effect
effect	profound effect
effect	significant effect
effect	similar effect
effect	effective implementation
effect	effective intervention
effect	effective management
effect	effective method
effect	effective participation
effect	effective policy
effect	effective treatment
effect	highly effective
effect	particularly effective
effect	use effectively
effect	work effectively
effect	environmental effects
efficient	highly efficient
effort	research effort
election	presidential election
electronic	electronic media
electronic	electronic resources
electronic	electronic version
element	essential element
element	individual element
element	key element
element	main element
element	single element
element	structural element
emerge	newly emerging
emission	reduce emissions
emotion	emotional impact
emotion	emotional intelligence
emotion	emotional reaction
emotion	emotional response
emotion	emotional support
emphasis	give emphasis
emphasis	greater emphasis
emphasis	increasing emphasis
emphasis	particular emphasis
emphasis	place emphasis
emphasis	shift emphasis
emphasis	special emphasis
emphasis	strong emphasis
empirical	empirical evidence
empirical	empirical investigation
empirical	empirical research
empirical	empirical study
empirical	empirical support
empirical	empirical work
employ	employ (a) method
employ	employ (a) technique
employ	employment opportunities
employ	full employment
employ	paid employment
employ	high unemployment
employ	low unemployment
encounter	encounter problems
encounter	first encounter
energy	nuclear energy
energy	renewable energy
energy	solar energy
enhance	enhance learning
enhance	enhance performance
enhance	greatly enhance
enormous	enormous impact
entire	(the) entire range (of)
entire	entire period
entire	entirely new
entity	separate entity
entity	single entity
environment	external environment
environment	immediate environment
environment	learning environment
environment	natural environment
environment	physical environment
environment	political environment
environment	social environment
environment	urban environment
environment	environmental factors
environment	environmental impact
environment	environmental issues
environment	environmental policy
environment	environmental pollution
environment	environmental protection
equal	equal opportunity
equal	equal status
equal	equal treatment
equal	roughly equal
equal	gender equality
equal	greater equality
equal	promote equality
equal	racial equality
equal	social equality
equal	equally important
equal	equally likely
equal	equally true
equal	equally valid
equal	treat equally
equal	social inequality
equal	unequal power
equivalent	roughly equivalent
error	random error
error	standard error
essential	essential feature
essential	essential function
essential	essential information
essential	essential role
establish	establish (a) relationship
establish	established order
establish	established practice
establish	established principle
establish	(be) firmly established
establish	(be) well established
establish	long established
establish	newly established
establish	once established
ethic	ethical issue
ethic	ethical principle
ethic	ethical problem
ethic	ethical question
ethnic	ethnic group
ethnic	ethnic identity
ethnic	ethnic minority
ethnic	ethnic origin
event	historical event
ever	ever increasing
evident	experimental evidence
evident	find evidence
evident	further evidence
evident	give evidence
evident	historical evidence
evident	little evidence
evident	present evidence
evident	provide evidence
evident	recent evidence
evident	research evidence
evident	scientific evidence
evident	show evidence
evident	strong evidence
evident	substantial evidence
evident	sufficient evidence
evident	supporting evidence
evident	(be) particularly evident
evolve	evolutionary process
evolve	evolutionary theory
examine	examine (the) role (of)
example	obvious example
example	prime example
example	provide (an) example
example	specific example
example	striking example
example	typical example
exception	notable exception
exclude	social exclusion
exclude	mutually exclusive
exist	existing research
exist	existing structure
expand	expand rapidly
expand	rapid expansion
expect	high expectations
expect	meet expectations
expect	social expectations
expend	government expenditure
expend	public expenditure
experience	experience problems
experience	individual experience
experience	personal experience
experience	previous experience
experience	prior experience
experience	professional experience
experience	shared experience
experience	experiential learning
experiment	experimental method
experiment	experimental research
experiment	experimental results
experiment	experimental study
experiment	experimental work
expert	expert opinion
expert	technical expertise
explain	further explanation
explain	give (an) explanation
explain	plausible explanation
explain	possible explanation
explain	provide (an) explanation
explain	explanatory power
explicit	make explicit
explicit	state explicitly
exploit	sexual exploitation
explore	explore (an) issue
explore	explore further
expression	facial expression
extend	extended period
extend	extensive research
extend	(be) extensively used
external	external factors
external	external forces
external	external influences
external	external source
external	external threat
external	external world
extract	extract information
extreme	extremely powerful
extreme	extremely sensitive
extreme	extremely useful
extreme	extremely valuable
face	face (a) problem
fact	factual information
factor	key factor
factor	main factor
factor	major factor
factor	related factor
factor	significant factor
factor	specific factor
factor	historical factors
factor	identify factors
factor	political factors
factor	relevant factors
factor	social factors
fair	fair treatment
fair	fairly obvious
fair	fairly straightforward
fair	unfair treatment
faith	religious faith
family	nuclear family
far	(be) far removed (from)
feature	general feature
feature	key feature
feature	main feature
feature	major feature
feature	particular feature
feature	positive feature
feature	prominent feature
feature	salient feature
feature	significant feature
feature	specific feature
feature	striking feature
feature	structural feature
feature	identify features
feature	physical features
federal	federal government
federal	federal state
feedback	give feedback
feedback	negative feedback
feedback	positive feedback
feedback	provide feedback
feedback	receive feedback
feminist	feminist movement
few	relatively few
field	field research
figure	significant figures
final	final outcome
final	final phase
final	final point
final	final position
final	final product
final	final result
